timestamp,local_timestamp,lat,lon,ab_name,network,pm25_value,temperature_2m,apparent_temperature,relativehumidity_2m,windspeed_10m
2025-06-17T16:00:00+00:00,"2025-06-17T18:00:00+02:00",50.849665,4.333820,"41R001 - Molenbeek-Saint-Jean","Brussels",7,19.8,19.4,77,16.2
2025-06-17T16:00:00+00:00,"2025-06-17T18:00:00+02:00",50.796632,4.358539,"41R012 - Uccle","Brussels",6,19.3,18.8,78,15.8
2025-06-17T12:00:00+00:00,"2025-06-17T14:00:00+02:00",50.895101,4.392718,"41MEU1 - Meudon","Brussels",6,19.7,19.0,77,18.0
2025-06-17T11:00:00+00:00,"2025-06-17T13:00:00+02:00",50.883560,4.382963,"41N043 - Haren","Brussels",6,19.9,19.2,77,18.0
2025-06-17T10:00:00+00:00,"2025-06-17T12:00:00+02:00",50.858031,4.288336,"41B011 - Berchem-Sainte-Agathe","Brussels",6,19.1,18.8,80,15.1
2025-06-17T10:00:00+00:00,"2025-06-17T12:00:00+02:00",50.843567,4.367006,"41REG1 - Brussel (Bld du Régent)","Brussels",9,19.7,19.1,77,16.9
2025-06-17T09:00:00+00:00,"2025-06-17T11:00:00+02:00",50.843567,4.367006,"41REG1 - Brussel (Bld du Régent)","Brussels",8,19.7,19.1,77,16.9
2025-06-17T08:00:00+00:00,"2025-06-17T10:00:00+02:00",50.858031,4.288336,"41B011 - Berchem-Sainte-Agathe","Brussels",7,19.1,18.8,80,15.1
2025-06-17T08:00:00+00:00,"2025-06-17T10:00:00+02:00",50.796632,4.358539,"41R012 - Uccle","Brussels",6,19.3,18.8,78,15.8
2025-06-17T06:00:00+00:00,"2025-06-17T08:00:00+02:00",50.858031,4.288336,"41B011 - Berchem-Sainte-Agathe","Brussels",7,19.1,18.8,80,15.1
2025-06-17T05:00:00+00:00,"2025-06-17T07:00:00+02:00",50.843567,4.367006,"41REG1 - Brussel (Bld du Régent)","Brussels",9,19.7,19.1,77,16.9
2025-06-17T03:00:00+00:00,"2025-06-17T05:00:00+02:00",50.895101,4.392718,"41MEU1 - Meudon","Brussels",7,19.7,19.0,77,18.0
2025-06-17T03:00:00+00:00,"2025-06-17T05:00:00+02:00",50.849665,4.333820,"41R001 - Molenbeek-Saint-Jean","Brussels",7,19.8,19.4,77,16.2
2025-06-17T02:00:00+00:00,"2025-06-17T04:00:00+02:00",50.883560,4.382963,"41N043 - Haren","Brussels",5,19.9,19.2,77,18.0
2025-06-17T01:00:00+00:00,"2025-06-17T03:00:00+02:00",50.858031,4.288336,"41B011 - Berchem-Sainte-Agathe","Brussels",6,19.1,18.8,80,15.1
2025-06-17T01:00:00+00:00,"2025-06-17T03:00:00+02:00",50.796632,4.358539,"41R012 - Uccle","Brussels",4,19.3,18.8,78,15.8
2025-06-17T00:00:00+00:00,"2025-06-17T02:00:00+02:00",50.858031,4.288336,"41B011 - Berchem-Sainte-Agathe","Brussels",4,19.1,18.8,80,15.1
2025-06-17T00:00:00+00:00,"2025-06-17T02:00:00+02:00",50.849665,4.333820,"41R001 - Molenbeek-Saint-Jean","Brussels",6,19.8,19.4,77,16.2
2025-06-16T22:00:00+00:00,"2025-06-17T00:00:00+02:00",50.849665,4.333820,"41R001 - Molenbeek-Saint-Jean","Brussels",6,19.8,19.4,77,16.2
2025-06-16T09:00:00+00:00,"2025-06-16T11:00:00+02:00",50.858031,4.288336,"41B011 - Berchem-Sainte-Agathe","Brussels",10,19.1,18.8,80,15.1
2025-06-16T09:00:00+00:00,"2025-06-16T11:00:00+02:00",50.895101,4.392718,"41MEU1 - Meudon","Brussels",11,19.7,19.0,77,18.0
2025-06-16T09:00:00+00:00,"2025-06-16T11:00:00+02:00",50.883560,4.382963,"41N043 - Haren","Brussels",12,19.9,19.2,77,18.0
2025-06-16T09:00:00+00:00,"2025-06-16T11:00:00+02:00",50.796632,4.358539,"41R012 - Uccle","Brussels",11,19.3,18.8,78,15.8
2025-06-16T08:00:00+00:00,"2025-06-16T10:00:00+02:00",50.883560,4.382963,"41N043 - Haren","Brussels",11,19.9,19.2,77,18.0
2025-06-16T07:00:00+00:00,"2025-06-16T09:00:00+02:00",50.858031,4.288336,"41B011 - Berchem-Sainte-Agathe","Brussels",11,19.1,18.8,80,15.1
2025-06-16T07:00:00+00:00,"2025-06-16T09:00:00+02:00",50.843567,4.367006,"41REG1 - Brussel (Bld du Régent)","Brussels",15,19.7,19.1,77,16.9
2025-06-16T06:00:00+00:00,"2025-06-16T08:00:00+02:00",50.843567,4.367006,"41REG1 - Brussel (Bld du Régent)","Brussels",14,19.7,19.1,77,16.9
2025-06-16T05:00:00+00:00,"2025-06-16T07:00:00+02:00",50.883560,4.382963,"41N043 - Haren","Brussels",15,19.9,19.2,77,18.0
2025-06-16T05:00:00+00:00,"2025-06-16T07:00:00+02:00",50.843567,4.367006,"41REG1 - Brussel (Bld du Régent)","Brussels",12,19.7,19.1,77,16.9
2025-06-16T15:00:00+00:00,"2025-06-16T17:00:00+02:00",50.796632,4.358539,"41R012 - Uccle","Brussels",5,19.3,18.8,78,15.8
2025-06-16T14:00:00+00:00,"2025-06-16T16:00:00+02:00",50.858031,4.288336,"41B011 - Berchem-Sainte-Agathe","Brussels",5,19.1,18.8,80,15.1
2025-06-16T14:00:00+00:00,"2025-06-16T16:00:00+02:00",50.796632,4.358539,"41R012 - Uccle","Brussels",6,19.3,18.8,78,15.8
2025-06-16T13:00:00+00:00,"2025-06-16T15:00:00+02:00",50.858031,4.288336,"41B011 - Berchem-Sainte-Agathe","Brussels",6,19.1,18.8,80,15.1
2025-06-16T13:00:00+00:00,"2025-06-16T15:00:00+02:00",50.849665,4.333820,"41R001 - Molenbeek-Saint-Jean","Brussels",6,19.8,19.4,77,16.2
2025-06-16T13:00:00+00:00,"2025-06-16T15:00:00+02:00",50.796632,4.358539,"41R012 - Uccle","Brussels",6,19.3,18.8,78,15.8
2025-06-16T10:00:00+00:00,"2025-06-16T12:00:00+02:00",50.858031,4.288336,"41B011 - Berchem-Sainte-Agathe","Brussels",9,19.1,18.8,80,15.1
2025-06-16T10:00:00+00:00,"2025-06-16T12:00:00+02:00",50.895101,4.392718,"41MEU1 - Meudon","Brussels",9,19.7,19.0,77,18.0
2025-06-16T10:00:00+00:00,"2025-06-16T12:00:00+02:00",50.843567,4.367006,"41REG1 - Brussel (Bld du Régent)","Brussels",12,19.7,19.1,77,16.9
2025-06-16T20:00:00+00:00,"2025-06-16T22:00:00+02:00",50.849665,4.333820,"41R001 - Molenbeek-Saint-Jean","Brussels",4,19.8,19.4,77,16.2
2025-06-16T20:00:00+00:00,"2025-06-16T22:00:00+02:00",50.796632,4.358539,"41R012 - Uccle","Brussels",3,19.3,18.8,78,15.8
2025-06-16T19:00:00+00:00,"2025-06-16T21:00:00+02:00",50.849665,4.333820,"41R001 - Molenbeek-Saint-Jean","Brussels",4,19.8,19.4,77,16.2
2025-06-16T17:00:00+00:00,"2025-06-16T19:00:00+02:00",50.849665,4.333820,"41R001 - Molenbeek-Saint-Jean","Brussels",6,19.8,19.4,77,16.2
2025-06-16T16:00:00+00:00,"2025-06-16T18:00:00+02:00",50.858031,4.288336,"41B011 - Berchem-Sainte-Agathe","Brussels",5,19.1,18.8,80,15.1
2025-06-16T16:00:00+00:00,"2025-06-16T18:00:00+02:00",50.849665,4.333820,"41R001 - Molenbeek-Saint-Jean","Brussels",6,19.8,19.4,77,16.2
2025-06-16T03:00:00+00:00,"2025-06-16T05:00:00+02:00",50.843567,4.367006,"41REG1 - Brussel (Bld du Régent)","Brussels",9,19.7,19.1,77,16.9
2025-06-16T02:00:00+00:00,"2025-06-16T04:00:00+02:00",50.858031,4.288336,"41B011 - Berchem-Sainte-Agathe","Brussels",6,19.1,18.8,80,15.1
2025-06-16T02:00:00+00:00,"2025-06-16T04:00:00+02:00",50.883560,4.382963,"41N043 - Haren","Brussels",7,19.9,19.2,77,18.0
2025-06-16T01:00:00+00:00,"2025-06-16T03:00:00+02:00",50.895101,4.392718,"41MEU1 - Meudon","Brussels",6,19.7,19.0,77,18.0
2025-06-15T22:00:00+00:00,"2025-06-16T00:00:00+02:00",50.858031,4.288336,"41B011 - Berchem-Sainte-Agathe","Brussels",4,19.1,18.8,80,15.1
2025-06-15T22:00:00+00:00,"2025-06-16T00:00:00+02:00",50.895101,4.392718,"41MEU1 - Meudon","Brussels",4,19.7,19.0,77,18.0
2025-06-15T22:00:00+00:00,"2025-06-16T00:00:00+02:00",50.849665,4.333820,"41R001 - Molenbeek-Saint-Jean","Brussels",5,19.8,19.4,77,16.2
2025-06-15T21:00:00+00:00,"2025-06-15T23:00:00+02:00",50.883560,4.382963,"41N043 - Haren","Brussels",3,19.9,19.2,77,18.0
2025-06-15T21:00:00+00:00,"2025-06-15T23:00:00+02:00",50.849665,4.333820,"41R001 - Molenbeek-Saint-Jean","Brussels",5,19.8,19.4,77,16.2
2025-06-15T20:00:00+00:00,"2025-06-15T22:00:00+02:00",50.858031,4.288336,"41B011 - Berchem-Sainte-Agathe","Brussels",3,19.1,18.8,80,15.1
2025-06-15T20:00:00+00:00,"2025-06-15T22:00:00+02:00",50.895101,4.392718,"41MEU1 - Meudon","Brussels",4,19.7,19.0,77,18.0
2025-06-15T18:00:00+00:00,"2025-06-15T20:00:00+02:00",50.849665,4.333820,"41R001 - Molenbeek-Saint-Jean","Brussels",6,19.8,19.4,77,16.2
2025-06-15T18:00:00+00:00,"2025-06-15T20:00:00+02:00",50.796632,4.358539,"41R012 - Uccle","Brussels",5,19.3,18.8,78,15.8
2025-06-15T17:00:00+00:00,"2025-06-15T19:00:00+02:00",50.858031,4.288336,"41B011 - Berchem-Sainte-Agathe","Brussels",5,19.1,18.8,80,15.1
2025-06-15T17:00:00+00:00,"2025-06-15T19:00:00+02:00",50.895101,4.392718,"41MEU1 - Meudon","Brussels",5,19.7,19.0,77,18.0
2025-06-15T17:00:00+00:00,"2025-06-15T19:00:00+02:00",50.849665,4.333820,"41R001 - Molenbeek-Saint-Jean","Brussels",5,19.8,19.4,77,16.2
2025-06-15T17:00:00+00:00,"2025-06-15T19:00:00+02:00",50.843567,4.367006,"41REG1 - Brussel (Bld du Régent)","Brussels",6,19.7,19.1,77,16.9
2025-06-17T15:00:00+00:00,"2025-06-17T17:00:00+02:00",50.849665,4.333820,"41R001 - Molenbeek-Saint-Jean","Brussels",7,19.8,19.4,77,16.2
2025-06-17T13:00:00+00:00,"2025-06-17T15:00:00+02:00",50.858031,4.288336,"41B011 - Berchem-Sainte-Agathe","Brussels",10,19.1,18.8,80,15.1
2025-06-17T13:00:00+00:00,"2025-06-17T15:00:00+02:00",50.883560,4.382963,"41N043 - Haren","Brussels",5,19.9,19.2,77,18.0
2025-06-17T13:00:00+00:00,"2025-06-17T15:00:00+02:00",50.849665,4.333820,"41R001 - Molenbeek-Saint-Jean","Brussels",6,19.8,19.4,77,16.2
2025-06-17T12:00:00+00:00,"2025-06-17T14:00:00+02:00",50.883560,4.382963,"41N043 - Haren","Brussels",5,19.9,19.2,77,18.0
2025-06-17T12:00:00+00:00,"2025-06-17T14:00:00+02:00",50.849665,4.333820,"41R001 - Molenbeek-Saint-Jean","Brussels",6,19.8,19.4,77,16.2
2025-06-17T12:00:00+00:00,"2025-06-17T14:00:00+02:00",50.843567,4.367006,"41REG1 - Brussel (Bld du Régent)","Brussels",8,19.7,19.1,77,16.9
2025-06-16T21:00:00+00:00,"2025-06-16T23:00:00+02:00",50.883560,4.382963,"41N043 - Haren","Brussels",3,19.9,19.2,77,18.0
2025-06-16T20:00:00+00:00,"2025-06-16T22:00:00+02:00",50.895101,4.392718,"41MEU1 - Meudon","Brussels",4,19.7,19.0,77,18.0
2025-06-16T19:00:00+00:00,"2025-06-16T21:00:00+02:00",50.796632,4.358539,"41R012 - Uccle","Brussels",4,19.3,18.8,78,15.8
2025-06-16T19:00:00+00:00,"2025-06-16T21:00:00+02:00",50.843567,4.367006,"41REG1 - Brussel (Bld du Régent)","Brussels",4,19.7,19.1,77,16.9
2025-06-16T17:00:00+00:00,"2025-06-16T19:00:00+02:00",50.858031,4.288336,"41B011 - Berchem-Sainte-Agathe","Brussels",5,19.1,18.8,80,15.1
2025-06-16T17:00:00+00:00,"2025-06-16T19:00:00+02:00",50.796632,4.358539,"41R012 - Uccle","Brussels",6,19.3,18.8,78,15.8
2025-06-17T09:00:00+00:00,"2025-06-17T11:00:00+02:00",50.858031,4.288336,"41B011 - Berchem-Sainte-Agathe","Brussels",7,19.1,18.8,80,15.1
2025-06-17T09:00:00+00:00,"2025-06-17T11:00:00+02:00",50.883560,4.382963,"41N043 - Haren","Brussels",6,19.9,19.2,77,18.0
2025-06-17T08:00:00+00:00,"2025-06-17T10:00:00+02:00",50.895101,4.392718,"41MEU1 - Meudon","Brussels",9,19.7,19.0,77,18.0
2025-06-17T07:00:00+00:00,"2025-06-17T09:00:00+02:00",50.858031,4.288336,"41B011 - Berchem-Sainte-Agathe","Brussels",7,19.1,18.8,80,15.1
2025-06-17T06:00:00+00:00,"2025-06-17T08:00:00+02:00",50.849665,4.333820,"41R001 - Molenbeek-Saint-Jean","Brussels",9,19.8,19.4,77,16.2
2025-06-17T05:00:00+00:00,"2025-06-17T07:00:00+02:00",50.895101,4.392718,"41MEU1 - Meudon","Brussels",12,19.7,19.0,77,18.0
2025-06-17T05:00:00+00:00,"2025-06-17T07:00:00+02:00",50.849665,4.333820,"41R001 - Molenbeek-Saint-Jean","Brussels",8,19.8,19.4,77,16.2
2025-06-17T04:00:00+00:00,"2025-06-17T06:00:00+02:00",50.849665,4.333820,"41R001 - Molenbeek-Saint-Jean","Brussels",7,19.8,19.4,77,16.2
